year,month,Career,Movements,3,4,Education,8,9,10,11,LGBTQ,13,14,Hobbies,16,21,22,23,24,25,27,28,29,Sports,33,34,Writing
2019,11,10,39,9158,9152,14,0,1,0,1,1,4,1,2,0,0,0,4,0,0,1,0,1,0,1,9147,2
2019,12,10,25,8008,8003,18,0,0,0,0,0,4,1,2,2,0,0,3,0,0,0,0,0,0,1,7998,2
2020,1,15,32,8723,8719,12,0,0,0,0,1,5,1,5,1,1,0,2,0,0,1,0,0,0,1,8713,2
2020,2,10,31,9193,9190,15,0,1,0,1,0,4,1,2,0,1,0,1,0,0,1,0,1,0,1,9185,2
2020,3,10,33,9071,9066,15,0,1,0,1,2,4,1,1,1,0,0,4,0,0,1,0,1,0,1,9061,1
2020,4,6,27,10518,10515,9,0,0,0,0,0,4,0,0,1,0,0,1,0,0,0,0,0,0,0,10511,2
2020,5,4,25,10293,10290,12,0,0,0,0,0,2,0,1,0,0,0,1,0,0,1,0,0,0,0,10288,2
2020,6,13,22,10347,10343,13,0,0,0,0,0,4,0,6,2,0,0,1,0,1,0,0,0,0,0,10339,3
2020,7,11,25,10270,10268,14,0,0,0,0,0,3,0,6,2,0,0,0,0,1,1,0,0,0,0,10265,2
2020,8,14,26,9738,9733,13,0,0,0,0,0,3,0,7,1,0,0,3,0,0,0,0,0,0,0,9730,2
2020,9,7,34,9949,9945,8,0,0,0,0,0,2,0,4,0,0,0,1,0,1,1,0,0,0,0,9943,3
2020,10,3,39,9974,9968,15,0,0,0,0,0,1,0,1,1,0,0,4,0,0,0,0,0,0,0,9967,2
2020,11,6,31,8743,8740,8,0,0,0,0,1,2,0,2,0,1,0,1,0,0,1,0,0,0,0,8738,2
2020,12,5,30,8560,8556,10,0,0,0,0,0,3,0,1,1,0,0,2,0,1,0,0,0,0,0,8553,2
2021,1,14,26,8859,8856,15,0,1,0,1,0,4,0,3,6,0,0,1,0,0,1,0,1,0,0,8852,2
2021,2,0,0,102,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0
2021,3,0,0,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
2021,4,0,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0
2021,5,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
